Time,RAM,,Time,RAM,AVG: 0.705007555657412,MIN,CPU
10:12.8,47.97471048,,05:31.0,0.873277942,0.705007556,,34.45636084
10:13.8,47.98748054,,05:32.0,0.886048004,0.705007556,,38.55604825
10:14.8,47.98115519,,05:33.0,0.879722648,0.705007556,,34.27171922
10:15.8,47.98085681,,05:34.0,0.879424275,0.705007556,,32.98545614
10:16.8,47.98561077,,05:35.0,0.884178234,0.705007556,,32.61917208
10:17.8,47.95165671,,05:36.0,0.850224169,0.705007556,,30.87511599
10:18.8,47.95165671,,05:37.0,0.850224169,0.705007556,,31.35382435
10:19.8,47.95109978,,05:38.0,0.849667238,0.705007556,,31.36160721
10:20.8,47.95979216,,05:39.0,0.858359621,0.705007556,,31.9493198
10:21.8,47.93860818,,05:40.0,0.837175641,0.705007556,,33.84063054
10:22.8,48.19983767,,05:41.0,1.098405128,0.705007556,,51.42574708
10:23.8,48.18525751,,05:42.0,1.08382497,0.705007556,,36.20578655
10:24.8,48.18702781,,05:43.0,1.085595275,0.705007556,,31.50888242
10:25.8,48.1795289,,05:44.0,1.078096358,0.705007556,,33.09446154
10:26.8,48.1848199,,05:45.0,1.083387365,0.705007556,,43.5022976
10:27.8,48.18824119,,05:46.0,1.086808648,0.705007556,,36.68608141
10:28.8,48.18430274,,05:47.0,1.082870201,0.705007556,,31.7604464
10:29.8,48.18698805,,05:48.0,1.085555507,0.705007556,,36.99900988
10:30.8,48.18434253,,05:49.0,1.082909992,0.705007556,,37.66227994
10:31.8,48.19299515,,05:50.0,1.091562608,0.705007556,,33.67066141
10:32.8,48.18448176,,05:51.0,1.083049225,0.705007556,,34.57236505
10:33.8,47.95306899,,05:52.0,0.85163645,0.705007556,,40.38182343
10:34.8,47.95491885,,05:53.0,0.853486313,0.705007556,,30.15485888
10:35.8,47.93906567,,05:54.0,0.83763313,0.705007556,,26.0860815
10:36.8,47.92301356,,05:55.0,0.821581017,0.705007556,,32.6049312
10:37.8,47.94370028,,05:56.0,0.842267741,0.705007556,,35.70283534
10:38.8,47.93287954,,05:57.0,0.831447006,0.705007556,,26.47564909
10:39.8,47.92687244,,05:58.0,0.825439906,0.705007556,,32.84024601
10:40.8,47.95573439,,05:59.0,0.854301849,0.705007556,,33.43333188
10:41.8,47.94586842,,06:00.0,0.844435883,0.705007556,,28.90680499
10:42.8,47.95549569,,06:01.0,0.854063151,0.705007556,,25.51130143
10:43.8,47.94958805,,06:02.0,0.848155515,0.705007556,,30.12979482
